url,FileSize,NumOfOutLink,ContentType
https://www.nytimes.com/subscriptions/Multiproduct/cooking_lp/assets/images/three.png,2 KB,0,image/png
https://www.nytimes.com/2018/09/28/books/review/daniel-jose-older-dactyl-hill-squad.html,820 KB,137,text/html
https://www.nytimes.com/2018/09/28/arts/television/cedric-the-entertainer-max-greenfield-the-neighborhood.html,769 KB,132,text/html
https://www.nytimes.com/2018/05/23/opinion/trump-welfare-reform-racism.html?action=click&module=RelatedLinks&pgtype=Article,813 KB,143,text/html
https://www.nytimes.com/2018/09/26/business/energy-environment/zinc-battery-solar-power.html,842 KB,134,text/html
https://www.nytimes.com/subscriptions/Multiproduct/cooking_lp/assets/images/perspectives-devices2.jpg,101 KB,0,image/jpeg
https://www.nytimes.com/2018/09/18/watching/emmy-winners-2018-stream.html,195 KB,54,text/html
https://www.nytimes.com/column/books-of-the-times,257 KB,111,text/html
https://www.nytimes.com/2018/09/26/world/americas/united-nations-general-assembly.html,127 KB,112,text/html
https://www.nytimes.com/2018/09/25/opinion/trumps-next-target-legal-immigrants.html?action=click&module=RelatedLinks&pgtype=Article,486 KB,128,text/html
https://www.nytimes.com/interactive/2018/09/13/climate/hurricane-florence-environmental-hazards.html,144 KB,28,text/html
https://www.nytimes.com/column/childrens-books,451 KB,144,text/html
https://www.nytimes.com/subscriptions/Multiproduct/cooking_lp/assets/images/one.png,1 KB,0,image/png
https://www.nytimes.com/2018/10/01/arts/television/three-things-to-watch-this-week.html,655 KB,128,text/html
https://www.nytimes.com/subscriptions/Multiproduct/cooking_lp/assets/images/recipe-video.jpg,104 KB,0,image/jpeg
https://www.nytimes.com/2018/09/22/us/politics/immigrants-green-card-public-aid.html,624 KB,125,text/html
https://www.nytimes.com/2018/10/01/world/middleeast/kuwait-ban-books.html,751 KB,137,text/html
https://www.nytimes.com/2018/09/27/science/killer-whales-pcbs.html,955 KB,136,text/html
https://www.nytimes.com/section/books/review,159 KB,169,text/html
